pid,content,author
5984974,patpat，保重身体,Alice
5984974,在宾馆，刚do完,Bob
5984974,羡慕我已经说腻了！！！！！,洞主
5984974,呜呜呜呜好,洞主
5984922,好美 哪里,Alice
5984922,哪里,Bob
5984922,元宵快乐,Carol
5984922,坐标琉璃厂西街,洞主
5984922,我操我也在这,Dave
5984922,有种被诈骗的感觉,Dave
5984896,"即从(1,1)出发后不会回到y=0的路径",Alice
5984896,就是（1，1）到（20，4）减去（1，1）到（20，-4）路径数量,Bob
5984896,-2吧,Carol
5984896,应该是-4，-2这两个相减不就是0吗,Bob
5984896,谢谢Bob,洞主
5984896,确实，想错了,Carol
5984871,一周三次？,Alice
5984871,分我一次（bushi）,Alice
5984871,要点通勤费,Bob
5984871,好好好,洞主
5984871,已经要过了，原来是200r/h……但还是感觉不是很高x,洞主
5984871,那没必要,Bob
5984871,你跟家长商量一下看看能不能三次合并成两次）,Alice
5984871,家长那边是也可以去两次的，不过我主要还是感觉价格不是很高,洞主
5984871,毕竟贵校的水平，身价是在的，而且北京补习需求的很多，这么低没必要啊,Bob
5984871,谢谢B，不过最近没有找到什么家教来着害,洞主
5984846,插个眼 dz雌堕了叫我,Alice
5984846,插眼,Bob
5984820,满绩计划🈚了,洞主
5984820,sb,Alice
5984820,sb,Bob
5984820,差不多得了,Carol
5984820,啥课现在出分,Dave
5984820,树洞钓鱼学导论,Eve
5984820,哦，我寻思着上学期的课拖到现在也太不正常了，这学期的课第一周就出分也太不正常了…,Dave
5984820,🤗🤗🤗🤗,洞主
5984795,可以进学校的k群,Alice
5984795,还有k群的吗,洞主
5984795,我还真不知道,洞主
5984795,还有k群的吗,Bob
5984770,湖里？,Alice
5984770,湖畔哈哈哈,洞主
5984745,直升机吗,洞主
5984745,大伊万,Alice
5984720,贵性,Alice
5984720,男生,洞主
5984643,dz可爱! 决定坚持追更!,Alice
5984617,patpat，先做点别的缓解一下情绪吧！,Alice
5984617,什么课呀,Bob
5984617,啊，我也干过这件事,Carol
5984567,不做了感觉（碳水是不是不够,Alice
5984567,做呗,Bob
5984567,要不要一起吃饭分享心得,Carol
5984567,每顿大概一拳碳水qaq,洞主
5984567,好！,洞主
5984567,hhhhhhh C君是♂还是♀呀,洞主
5984567,男…不过我没有性别上的思考…单纯想分享自己在食堂摸索的经验,Carol
5984567,可以诶！那我发个问卷星~,洞主
5984567,https://www.wjx.cn/vm/OCUiqqa.aspx#,洞主
5984567,被删了,Carol
5984542,什么玩意？我还专门多读了一遍,Alice
5984517,微信18797991②一一,洞主
5984466,我先冲完再把手机倒过来,Alice
5984466,相当于1亿颗A100,Bob
5984466,天才，解决了树洞上方最大的一朵乌云,Carol
5984466,这和渲染有什么关系？,Dave
5984466,这属于图像处理吧,Dave
5984416,你是我吗,Alice
5984416,我是你呀,洞主
5984416,你是🐔，元宵节也不忘站街,Bob
5984416,满脑子都在想这个，结果你给我发出来了🥵,洞主
5984416,再骂狠点，爱听,洞主
5984390,贵性,Alice
5984390,在dz充分主动追求对方的场合下容易脱单。,Bob
5984390,男,洞主
5984390,但是认识异性很少，而且之后约也不好约出来,洞主
5984390,如果我魅力高一点的话，大部分女生再忙也会闲下来吧,洞主
5984390,小红书,Carol
5984390,真的吗,洞主
5984390,爱心社,Dave
5984390,广撒网，同时多接触，放弃本校女生,Carol
5984390,"当一个女生需要你舔的时候，你对她说的话多于她对你说的话，怎么约都约不出来
持续超过两周就可以换人了",Carol
5984365,口味贴近陕菜,Alice
5984365,很拉,Bob
5984365,可以 我也想去,Carol
5984339,vx 258六七4 9129 谢谢！！！,洞主
5984314,看楼上,Alice
5984287,打不开，发生什么事了,Alice
5984287,不知道啊，我也打不开,Bob
5984262,有意加🐧：3⑥502⑨7⑥41,洞主
